Id,Phylum_color,Order_color,Name,Domain,Phylum,Class,Order,Family,Genus,Size
OTU153,#00FFFFFF,Actinomycetales,Streptomyces,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycetaceae,Streptomyces,2078
OTU30,#00FFFFFF,Actinomycetales,Terrabacter,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Intrasporangiaceae,Terrabacter,125871
OTU6,#00FFFFFF,Actinomycetales,Arthrobacter,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micrococcaceae,Arthrobacter,146210
OTU52,#00FFFFFF,Actinomycetales,Amycolatopsis,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Pseudonocardiaceae,Amycolatopsis,3138
OTU609,#00FFFFFF,Actinomycetales,Nocardioides,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Nocardioidaceae,Nocardioides,9251
OTU150,#00FFFFFF,Actinomycetales,Nonomuraea,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptosporangiaceae,Nonomuraea,1034
OTU217,#00FFFFFF,Actinomycetales,Actinoplanes,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micromonosporaceae,Actinoplanes,2053
OTU614,#00FFFFFF,Actinomycetales,Mycobacterium,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Mycobacteriaceae,Mycobacterium,10834
OTU207,#00FFFFFF,Actinomycetales,Intrasporangium,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Intrasporangiaceae,Intrasporangium,16124
OTU3,#00FFFFFF,Actinomycetales,Streptomyces,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycetaceae,Streptomyces,103056
OTU11,#00FFFFFF,Actinomycetales,Actinomycetales,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Thermomonosporaceae,Spirillospora,77919
OTU228,#00FFFFFF,Actinomycetales,Streptomyces,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycetaceae,Streptomyces,8454
OTU27,#00FFFFFF,Actinomycetales,Pseudonocardiaceae,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Pseudonocardiaceae,Lentzea,7392
OTU65,#00FFFFFF,Actinomycetales,Pseudonocardiaceae,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Pseudonocardiaceae,Lentzea,3130
OTU95,#00FFFFFF,Actinomycetales,Dactylosporangium,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micromonosporaceae,Dactylosporangium,12843
OTU45,#00FFFFFF,Actinomycetales,Streptomyces,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycetaceae,Streptomyces,33251
OTU20,#00FFFFFF,Actinomycetales,Actinoplanes,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micromonosporaceae,Actinoplanes,9183
OTU17,#00FFFFFF,Actinomycetales,Lechevalieria,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Pseudonocardiaceae,Lechevalieria,1774
OTU219,#00FFFFFF,Actinomycetales,Marmoricola,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Nocardioidaceae,Marmoricola,14513
OTU26,#00FFFFFF,Actinomycetales,Pseudonocardiaceae,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Pseudonocardiaceae,Lechevalieria,2958
OTU96,#00FFFFFF,Actinomycetales,Micrococcaceae,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micrococcaceae,Renibacterium,69392
OTU25,#00FFFFFF,Actinomycetales,Actinoplanes,Bacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micromonosporaceae,Actinoplanes,11884
